"Position","News Title","News Link","Source"
66,"Review: ReMarkable Paper Pro","https://amandariu.com/review-remarkable-paper-pro/","amandariu.com"
67,"AP5 - Declarative Programming Library For Common Lisp (1995)","https://oceanpark.com/ap5.html","oceanpark.com"
68,"In SSRI withdrawal, brain zaps go from overlooked symptom to center stage (2023)","https://www.psychiatrist.com/news/brain-zaps-go-from-overlooked-symptom-to-center-stage-in-ssri-withdrawal/","psychiatrist.com"
69,"Grokking at the edge of linear separability","https://arxiv.org/abs/2410.04489","arxiv.org"
70,"Canonical Releases Ubuntu 24.10 Oracular Oriole","https://ubuntu.com/blog/canonical-releases-ubuntu-24-10-oracular-oriole","ubuntu.com"
71,"Show HN: I made a simple web app to help kids learn a new language","https://www.voiczy.com","voiczy.com"
72,"The Illusion of Information Adequacy","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0310216","plos.org"
73,"Google is preparing to let you run Linux apps on Android, just like Chrome OS","https://www.androidauthority.com/android-linux-terminal-app-3489887/","androidauthority.com"
74,"Chunkr – Vision model based PDF chunking","https://github.com/lumina-ai-inc/chunkr","github.com/lumina-ai-inc"
75,"Switching customers from Linux to BSD because boring is good","https://www.theregister.com/2024/10/08/switching_from_linux_to_bsd/","theregister.com"
76,"History Of Hacking The Nintendo 3DS (2019) [pdf]","https://courses.csail.mit.edu/6.857/2019/project/20-Chau-Ko-Tang.pdf","csail.mit.edu"
77,"Are retrocomputers best left on or off?","https://retrocomputing.stackexchange.com/questions/30736/are-retrocomputers-best-left-on-or-off","retrocomputing.stackexchange.com"
78,"James Salter: Pilot, Screenwriter, Novelist","https://literaryreview.co.uk/author-aviator","literaryreview.co.uk"
79,"Show HN: Dead man's switch without reliance on your infra","https://github.com/adamdecaf/deadcheck","github.com/adamdecaf"
80,"Scuda – Virtual GPU over IP","https://github.com/kevmo314/scuda","github.com/kevmo314"
81,"The Joides Resolution may have sailed its last expedition","https://www.theguardian.com/environment/2024/oct/09/a-huge-loss-is-it-the-end-for-the-ship-that-helped-us-understand-life-on-earth","theguardian.com"
82,"The collateral damage of OnlyFans' explosive success","https://www.reuters.com/investigates/special-report/onlyfans-sex-cases-society/","reuters.com"
83,"Kudzu, the vine that never ate the South (2015)","https://www.smithsonianmag.com/science-nature/true-story-kudzu-vine-ate-south-180956325/","smithsonianmag.com"
84,"Uxn","https://100r.co/site/uxn.html","100r.co"
85,"A Georgist's Guerilla Gardening Guide","https://taylor.town/oh-trespassing","taylor.town"
86,"End-to-End Encrypted Cloud Storage in the Wild: A Broken Ecosystem","https://brokencloudstorage.info/","brokencloudstorage.info"
87,"Can Logic Programming Be Liberated from Predicates and Backtracking? [pdf]","https://www-ps.informatik.uni-kiel.de/~mh/papers/WLP24.pdf","uni-kiel.de"
88,"Archaeologists found an ancient Egyptian observatory","https://arstechnica.com/science/2024/10/archaeologists-found-an-ancient-egyptian-observatory/","arstechnica.com"
89,"Initial CUDA Performance Lessons","https://probablydance.com/2024/10/07/initial-cuda-performance-lessons/","probablydance.com"
90,"Kagi Snaps","https://help.kagi.com/kagi/features/snaps.html","kagi.com"
91,"Kagi Snaps","https://help.kagi.com/kagi/features/snaps.html","kagi.com"
92,"How do you choose where to be?","https://news.ycombinator.com/item?id=41818109",
93,"Open-TV: Ultra-fast, simple and powerful cross-platform IPTV app","https://github.com/Fredolx/open-tv","github.com/fredolx"
94,"Game Programming in Prolog","https://thingspool.net/morsels/page-10.html","thingspool.net"
95,"Chemistry Nobel: Computational protein design and protein structure prediction","https://www.nobelprize.org/prizes/chemistry/2024/press-release/","nobelprize.org"
96,"Show HN: NotesHub: cross-platform, Markdown-based note-taking app","https://about.noteshub.app","noteshub.app"
97,"Build systems, not heroes","https://vitonsky.net/blog/2024/10/11/system-approach/","vitonsky.net"
98,"A Language of Beautiful Impurity","https://www.edwest.co.uk/p/a-language-of-beautiful-impurity","edwest.co.uk"
99,"Proposal: JavaScript Structs","https://github.com/tc39/proposal-structs","github.com/tc39"
100,"Show HN: Tenno – Markdown and JavaScript = a hybrid of Word and Excel","https://tenno.app","tenno.app"
